file,Assays,treatment,SynCom9,date,day,format,plant_region_red_channel,plant_region_green_channel,plant_region_blue_channel,plant_region_chroma_ratio,plant_region_chroma_difference,plant_region_chroma_base,plant_region_green_strength,plant_region_blue_green_ratio,total_area,class_background_area,plant_region_area,plant_region_filled_area,plant_region_convex_area,plant_region_equivalent_diameter,plant_region_major_axis_length,plant_region_minor_axis_length,plant_region_perimeter,plant_region_eccentricity,plant_region_extent,plant_region_solidity,plant_region_aspect_ratio
hP_c01,Experiment 4,highP_control,no,18.11.22,day 04,jpg,117.25101214574900,177.3562753036440,151.16194331983800,1.321517994509640,-43.14979757085020,1.513411098682860,0.3978656736751280,0.8523067089734520,23982000,23957370,24630,24630,31316,177.0872383511220,247.9587779108940,161.6143612686390,918.1837661840740,0.7584088217123050,0.5665976535541750,0.7864989142930130,1.5342620294661300
hP_c02,Experiment 4,highP_control,no,18.11.22,day 04,jpg,105.60774410774400,147.003367003367,132.6010101010100,1.234239837168540,-27.898989898989900,1.620430600091620,0.3816166701629260,0.9020270270270270,23982000,23922969,59031,59331,103013,274.15434259785400,389.5261829516000,227.13716811218800,1565.0538238691600,0.8123921864149490,0.339821083172147,0.573044178890043,1.7149380974900800
hP_c03,Experiment 4,highP_control,no,18.11.22,day 04,jpg,48.10689655172410,101.03103448275900,75.62758620689660,1.63302956831926,-39.163793103448300,1.2247175671524600,0.44949525942744900,0.7485579712618180,23982000,23923969,57531,57631,80237,270.64874699166600,313.42600659467600,278.7807125948500,1505.0538238691600,0.4570079568625330,0.48223401312646200,0.7170133479566780,1.1242743577105900
hP_c04,Experiment 4,highP_control,no,18.11.22,day 04,jpg,121.5997248968360,161.6671251719400,150.54607977991700,1.1880919888804700,-25.59422283356260,1.6833713371677500,0.3726655294214640,0.9312102235986790,23982000,23909470,72530,72530,104806,303.8882429111750,371.29960300469200,323.6403093326080,1894.367532368150,0.49014315676206600,0.4844343812825190,0.6920405320306090,1.1472600671108100
hP_c05,Experiment 4,highP_control,no,18.11.22,day 04,jpg,94.8951367781155,145.64589665653500,129.1565349544070,1.3001098856375400,-33.62006079027350,1.5383315072781300,0.39395957428441100,0.8867845776595190,23982000,23916589,65411,65701,158449,288.5894520953110,389.56776557299700,278.2453728432240,1913.7817459305200,0.6998995774122330,0.22186457004857100,0.4128205290030230,1.4000871302628900
hP_c06,Experiment 4,highP_control,no,18.11.22,day 04,jpg,63.76951672862450,119.74721189591100,95.16728624535320,1.5068531599382500,-40.27881040892190,1.327269340618400,0.42968812528346200,0.7947348814106540,23982000,23955180,26820,26820,41425,184.79254473543300,288.76878371662100,200.70729164594400,1194.1837661840700,0.7189662611806720,0.436950146627566,0.6474351237175620,1.4387558187274000
hP_c07,Experiment 4,highP_control,no,18.11.22,day 04,jpg,108.96049382716000,147.85185185185200,131.5358024691360,1.2295561647211000,-27.6037037037037,1.6266032064128300,0.3807198580883900,0.8896459585838340,23982000,23941919,40081,40081,54909,225.90421464091800,329.5922846279260,178.16952421499400,1286.0832611206900,0.8412954864285110,0.5510779299345540,0.7299531952867470,1.849880253539950
hP_c08,Experiment 4,highP_control,no,18.11.22,day 04,jpg,99.96684118673650,154.6369982547990,135.1134380453750,1.3156101291007500,-37.096858638743500,1.5202072071055300,0.39679277052322400,0.8737458665793900,23982000,23925209,56791,56791,117198,268.90248601501400,378.81084535504600,303.7217666955490,1793.39696961967,0.5976235280476830,0.3190469770002580,0.4845731155821770,1.2472298231254700
hP_c09,Experiment 4,highP_control,no,18.11.22,day 04,jpg,110.2770137524560,148.63654223968600,141.76817288801600,1.1794436086709100,-22.61394891944990,1.6957148144231800,0.370959121732607,0.9537908427619750,23982000,23931549,50451,50451,64558,253.448630439057,424.11572118266600,183.21074347427300,1422.2253967444200,0.901881791225211,0.5020399633801700,0.7814833173270550,2.3149063921692000
hP_c10,Experiment 4,highP_control,no,18.11.22,day 04,jpg,101.2128935532230,146.92503748125900,129.01949025487300,1.2763194738384400,-31.8088455772114,1.5670057857733200,0.38955891940023200,0.8781314095041790,23982000,23914429,66101,66101,151651,290.107578574809,481.62815363617600,264.5264545296940,2267.095454429510,0.8356687428127270,0.1658062930186820,0.4358757937633120,1.8207182888096100
