file,Assays,treatment,date,day,format,plant_region_red_channel,plant_region_green_channel,plant_region_blue_channel,plant_region_chroma_ratio,plant_region_chroma_difference,plant_region_chroma_base,plant_region_green_strength,plant_region_blue_green_ratio,total_area,class_background_area,plant_region_area,plant_region_filled_area,plant_region_convex_area,plant_region_equivalent_diameter,plant_region_major_axis_length,plant_region_minor_axis_length,plant_region_perimeter,plant_region_eccentricity,plant_region_extent,plant_region_solidity,plant_region_aspect_ratio
hP_c01,Experiment 3,highP_control,23.06.22,day 03,JPG,81.66158536585370,128.51829268292700,120.53658536585400,1.2712112302287400,-27.419207317073200,1.5733026521801000,0.38860566950910300,0.9378943872467620,23982000,23949509,32491,32491,81592,203.39327925964100,324.871296010972,197.74556862211300,1456.8111831820400,0.7934089487894910,0.15135253480908000,0.39821306010393200,1.6428752273675100
hP_c02,Experiment 3,highP_control,23.06.22,day 03,JPG,92.55772646536410,108.65452930728200,122.04262877442300,1.0126220824366800,-1.3543516873889800,1.9750704973640100,0.33612648872893100,1.1232171318811600,23982000,23870297,111703,112403,812835,377.1268710468030,961.7424503592800,714.8722326354630,4597.462986797650,0.6689477492245090,0.10118245324173700,0.1374239544310960,1.3453347415855000
hP_c03,Experiment 3,highP_control,23.06.22,day 03,JPG,97.45244215938300,112.76778063410500,128.4344473007710,0.9984446720534120,0.1756640959725790,2.003115501519760,0.332987525619291,1.1389285714285700,23982000,23866008,115992,116192,3230514,384.2988437048970,1734.3203086583100,900.7989356473210,7012.96046148071,0.8545337046121290,0.024884440273867900,0.03590512221894100,1.925313452343300
hP_c04,Experiment 3,highP_control,23.06.22,day 03,JPG,78.23833543505670,109.23076923076900,108.3858764186630,1.1705959065631500,-15.918663303909200,1.7085315169706800,0.36920375256273100,0.9922650658046640,23982000,23903099,78901,78901,364206,316.9540555335250,615.0341621147170,462.21960076847600,2565.338095116620,0.6596934014388010,0.13006960036663000,0.21663838596838100,1.3306103010174700
hP_c05,Experiment 3,highP_control,23.06.22,day 03,JPG,87.03921568627450,106.49953314659200,122.37254901960800,1.0171303727483500,-1.7936507936507800,1.9663162693646400,0.3371184692366580,1.1490430559086800,23982000,23875399,106601,107301,974013,368.41363805960400,827.3242540066930,559.619630143743,4081.17871555019,0.7365150485029960,0.0630981243577784,0.10944515114274700,1.478368894590400
hP_c06,Experiment 3,highP_control,23.06.22,day 03,JPG,101.73184357541900,134.52886405959000,131.92737430167600,1.1514963140067700,-17.69925512104280,1.7368705185349200,0.3653808220840900,0.9806622186539690,23982000,23928460,53540,53640,523906,261.09240744441500,723.8748845050900,413.1258002243820,2008.1248916810300,0.8211486500160340,0.03774526668433850,0.10219390501349500,1.7521899724295300
hP_c07,Experiment 3,highP_control,23.06.22,day 03,JPG,86.53197674418610,134.5668604651160,124.3953488372090,1.2759547402803200,-29.103197674418600,1.5674537167051900,0.38949095498527600,0.924412952841805,23982000,23947770,34230,34230,123445,208.76539372291700,555.7798007631400,153.18568273944800,1347.254833995940,0.9612658191410460,0.15768380320619100,0.2772894811454490,3.628144555183140
hP_c08,Experiment 3,highP_control,23.06.22,day 03,JPG,98.58480565371030,137.726148409894,130.952296819788,1.2000338675164300,-22.957597173144900,1.666619629776920,0.3750066146792960,0.9508165176452480,23982000,23925580,56420,56420,1259138,268.0227138023150,670.6673824643280,598.7172998664800,2552.710678118660,0.45061442473550800,0.0273820356956527,0.04480843243552340,1.1201737157317700
hP_c09,Experiment 3,highP_control,23.06.22,day 03,JPG,86.8449074074074,130.82175925925900,123.69675925925900,1.2427160982474700,-25.550925925925900,1.6093780412279900,0.3832330862757600,0.9455365832079980,23982000,23938940,43060,43060,516900,234.14887314761100,623.3799680568490,376.26045902875200,1601.4974746830600,0.7973014970491200,0.03910709404139030,0.08330431418069260,1.6567777801206900
hP_c10,Experiment 3,highP_control,23.06.22,day 03,JPG,104.67581047381500,145.28428927680800,141.57356608478800,1.1799769104571300,-22.15960099750620,1.6949484199866100,0.3710646157765680,0.9744588818894940,23982000,23942349,39651,39651,342973,224.689165711865,703.5692141380620,232.04866857654300,1492.8111831820400,0.9440450938770580,0.04272359554435920,0.11560968356109700,3.0319898771838300
